 S1(Amp),S2(Amp),S1(Volt),S2(Volt),Light(kiloLux),Temp(degC),Weather,State
6.6,7.6,105,107,104,33,Sunny,Normal
6.5,7.2,108,110,104,32,Sunny,Normal
7.4,6,110,106,107,36,Sunny,Normal
7.1,7.4,109,109,104,40,Sunny,Normal
7.4,7.2,105,107,104,33,Sunny,Normal
7,7.3,107,109,107,30,Sunny,Normal
7.2,6.8,107,107,108,35,Sunny,Normal
7.3,7.4,109,107,106,30,Sunny,Normal
6.8,6.6,106,109,106,37,Sunny,Normal
7.4,6.3,106,109,110,38,Sunny,Normal
6.1,6,110,108,107,36,Sunny,Normal
7.3,6.8,108,109,106,39,Sunny,Normal
6,7.4,108,109,107,32,Sunny,Normal
7.2,7.1,105,108,108,32,Sunny,Normal
6.9,6.8,110,107,105,38,Sunny,Normal
6.5,6.2,106,106,104,35,Sunny,Normal
6.8,7.1,105,108,108,36,Sunny,Normal
6.5,7.5,110,109,106,35,Sunny,Normal
6.2,7,108,108,110,38,Sunny,Normal
6,6.2,105,105,109,31,Sunny,Normal
6.5,6.9,110,107,105,36,Sunny,Normal
7.5,7.4,110,108,109,34,Sunny,Normal
6.8,6.1,108,107,103,32,Sunny,Normal
6.8,6.6,110,110,110,34,Sunny,Normal
6.7,7.5,109,106,105,38,Sunny,Normal
6.3,7.1,108,109,102,39,Sunny,Normal
7.3,6.2,105,110,104,37,Sunny,Normal
6.6,7.4,108,109,105,35,Sunny,Normal
6.7,6,108,109,105,34,Sunny,Normal
6.2,6.7,107,109,105,30,Sunny,Normal
7.5,7.1,108,109,106,35,Sunny,Normal
6.8,6.1,108,107,109,34,Sunny,Normal
6.3,7.1,105,108,105,39,Sunny,Normal
6.1,7.5,107,110,108,38,Sunny,Normal
7.6,6.7,107,106,108,35,Sunny,Normal
6.4,6.9,110,109,106,34,Sunny,Normal
6.2,7.5,107,108,109,36,Sunny,Normal
6.5,6.8,109,109,110,34,Sunny,Normal
6.7,7.4,106,109,103,30,Sunny,Normal
6.2,7,109,106,110,37,Sunny,Normal
6.2,6.7,108,105,106,33,Sunny,Normal
7.1,6.8,108,110,102,31,Sunny,Normal
6.5,6.2,108,109,103,35,Sunny,Normal
6.3,7.3,108,109,106,33,Sunny,Normal
7.3,7.5,110,106,104,40,Sunny,Normal
6.6,7,110,107,106,34,Sunny,Normal
6.3,6.7,107,108,105,33,Sunny,Normal
7.5,7.1,110,109,105,34,Sunny,Normal
7.6,6.8,110,106,102,36,Sunny,Normal
7.4,6.8,109,109,109,40,Sunny,Normal
6.7,7.2,107,108,104,35,Sunny,Normal
6.5,7.4,108,108,107,33,Sunny,Normal
6.7,7.2,109,110,106,30,Sunny,Normal
7.4,7.5,106,106,103,31,Sunny,Normal
6.6,6.8,107,106,106,38,Sunny,Normal
7.1,6,109,106,104,31,Sunny,Normal
7.2,6.3,107,108,110,36,Sunny,Normal
6.4,6.5,106,105,105,37,Sunny,Normal
6.8,6.7,109,106,105,30,Sunny,Normal
7.3,7.4,108,107,102,37,Sunny,Normal
6.2,7.3,107,106,109,33,Sunny,Normal
7.5,7,109,107,104,33,Sunny,Normal
6.3,7.1,107,106,105,38,Sunny,Normal
6.8,7,110,107,105,31,Sunny,Normal
6.2,6.4,105,108,109,38,Sunny,Normal
6.6,6.9,105,108,109,38,Sunny,Normal
6.7,6.7,107,108,103,38,Sunny,Normal
6.6,7.3,108,108,107,38,Sunny,Normal
6.6,7.2,105,106,110,33,Sunny,Normal
6.5,7.5,107,105,109,33,Sunny,Normal
6.2,7.4,107,108,107,32,Sunny,Normal
6.2,7.1,108,109,108,37,Sunny,Normal
7.1,6.8,110,106,106,36,Sunny,Normal
6.3,7,107,110,106,37,Sunny,Normal
7.6,6.5,107,106,108,34,Sunny,Normal
6.7,7.4,109,109,102,33,Sunny,Normal
7,7.2,110,108,108,38,Sunny,Normal
6.4,6.7,105,107,103,40,Sunny,Normal
6.6,7.5,110,106,105,32,Sunny,Normal
6.8,6.5,109,109,108,33,Sunny,Normal
6.4,7.5,108,106,105,39,Sunny,Normal
7,6.3,109,109,104,40,Sunny,Normal
7,6.3,107,110,104,40,Sunny,Normal
7.3,7.4,107,108,108,30,Sunny,Normal
6.2,7,108,107,103,36,Sunny,Normal
6.2,6.2,108,108,107,36,Sunny,Normal
6.8,6.9,107,110,109,40,Sunny,Normal
6.2,6,107,106,104,35,Sunny,Normal
7,6.2,106,107,105,35,Sunny,Normal
6.1,7.2,106,109,106,33,Sunny,Normal
6.8,6.2,109,109,107,38,Sunny,Normal
6.3,6.7,108,108,104,38,Sunny,Normal
7.2,6.9,109,110,107,30,Sunny,Normal
7.4,6.4,105,105,104,40,Sunny,Normal
6.2,6.6,109,105,105,39,Sunny,Normal
6.5,7.3,107,105,107,34,Sunny,Normal
7.1,7.4,108,106,108,36,Sunny,Normal
7.2,7.4,107,108,103,35,Sunny,Normal
7,6.2,105,110,102,32,Sunny,Normal
7.2,6.4,109,108,104,33,Sunny,Normal
6.4,7.2,105,108,107,36,Sunny,Normal
7,6.4,106,107,108,32,Sunny,Normal
6.8,6.6,109,110,110,33,Sunny,Normal
6,6.1,106,107,106,36,Sunny,Normal
6.2,6.6,110,108,104,32,Sunny,Normal
7.2,6.9,108,107,107,35,Sunny,Normal
6.2,6.9,108,109,103,34,Sunny,Normal
6.4,7.5,106,110,108,38,Sunny,Normal
6.5,6.5,110,109,103,36,Sunny,Normal
6,6.9,105,106,105,33,Sunny,Normal
7.4,6.5,108,107,105,33,Sunny,Normal
6.2,6.4,110,106,107,38,Sunny,Normal
6.5,7.5,106,109,108,34,Sunny,Normal
7.2,6.1,109,107,103,34,Sunny,Normal
6.5,7,107,108,109,36,Sunny,Normal
6.9,7.2,107,107,107,40,Sunny,Normal
6.1,7.5,107,106,103,40,Sunny,Normal
6.7,6.2,110,106,109,40,Sunny,Normal
6.9,7.5,110,107,107,38,Sunny,Normal
6.9,6.1,110,108,103,31,Sunny,Normal
6.7,6.5,109,106,105,34,Sunny,Normal
7.2,6.2,108,108,104,34,Sunny,Normal
7.5,6.6,107,110,104,34,Sunny,Normal
7.1,6.6,109,107,108,34,Sunny,Normal
6.7,6.8,105,106,104,33,Sunny,Normal
6.9,6.7,108,108,109,31,Sunny,Normal
6.2,6.8,110,106,103,31,Sunny,Normal
7.1,6.2,106,105,104,36,Sunny,Normal
7.4,6.5,110,110,104,33,Sunny,Normal
6.9,6,106,109,104,33,Sunny,Normal
6.3,7,107,108,102,31,Sunny,Normal
6.4,6.2,109,109,106,33,Sunny,Normal
7,7,106,108,109,38,Sunny,Normal
7.2,7.3,108,106,105,34,Sunny,Normal
7.3,6.3,107,110,103,36,Sunny,Normal
7.3,7.5,108,109,109,33,Sunny,Normal
6.5,6.6,105,107,107,32,Sunny,Normal
6.4,6.4,108,108,104,36,Sunny,Normal
6.4,7.4,110,108,106,32,Sunny,Normal
6.3,6.6,108,107,106,33,Sunny,Normal
6.6,6.4,109,106,106,31,Sunny,Normal
7.3,7.2,108,109,108,39,Sunny,Normal
6.1,6.3,108,107,103,32,Sunny,Normal
6.5,6.1,109,107,109,36,Sunny,Normal
6.5,6,110,108,106,39,Sunny,Normal
7.1,6.6,110,109,107,35,Sunny,Normal
7.4,6.7,108,107,103,38,Sunny,Normal
6.4,6.1,107,106,103,33,Sunny,Normal
7.5,6.7,110,107,103,39,Sunny,Normal
6.1,6.5,109,106,108,39,Sunny,Normal
6,7.2,109,109,103,39,Sunny,Normal
7.3,6.9,106,107,108,34,Sunny,Normal
7.3,6.3,105,109,103,34,Sunny,Normal
6.4,6,107,109,105,30,Sunny,Normal
6.1,6.8,109,107,103,30,Sunny,Normal
6.7,6.7,105,109,108,31,Sunny,Normal
6.5,6.2,110,105,109,39,Sunny,Normal
7.4,6.1,109,106,105,34,Sunny,Normal
6.8,7.2,106,107,103,38,Sunny,Normal
6.3,6.6,106,109,103,40,Sunny,Normal
6.9,7.4,107,106,107,37,Sunny,Normal
6.9,6.7,109,105,102,40,Sunny,Normal
7,6.8,106,108,102,35,Sunny,Normal
6.4,7.6,108,108,110,38,Sunny,Normal
7.4,6,107,109,103,32,Sunny,Normal
7.6,6.2,106,108,107,31,Sunny,Normal
6.4,6.7,108,106,108,36,Sunny,Normal
6.4,6.3,107,109,103,30,Sunny,Normal
6.2,7.2,109,107,106,37,Sunny,Normal
5.2,5.6,106,103,91,29,Sunny,Normal
5.8,5.9,102,100,92,28,Cloudy,Normal
5.9,5.2,106,107,94,23,Cloudy,Normal
5.3,5.3,109,107,98,26,Cloudy,Normal
5.6,5.6,108,102,93,28,Cloudy,Normal
5.1,5.1,101,103,98,28,Cloudy,Normal
5.4,5.6,102,109,96,23,Cloudy,Normal
5.6,5.3,110,104,92,22,Cloudy,Normal
5.4,5.1,103,105,94,22,Cloudy,Normal
5.6,5.7,104,103,98,24,Cloudy,Normal
5.7,5.4,102,105,95,30,Cloudy,Normal
5.6,5.4,104,105,94,22,Cloudy,Normal
5.3,5.6,101,110,92,22,Cloudy,Normal
5.8,5.7,103,108,99,22,Cloudy,Normal
5.6,5.7,101,100,94,30,Cloudy,Normal
5.7,5.7,102,103,96,22,Cloudy,Normal
5.8,5.2,104,105,95,27,Cloudy,Normal
5.7,5.4,107,105,94,21,Cloudy,Normal
5.8,5.5,108,100,93,28,Cloudy,Normal
5.8,5.5,110,105,95,25,Cloudy,Normal
5.3,5.6,108,107,92,28,Cloudy,Normal
5.2,5.6,106,101,94,29,Cloudy,Normal
5.3,5.2,110,108,96,21,Cloudy,Normal
5.7,5.7,110,109,92,26,Cloudy,Normal
5.2,5.7,106,102,95,25,Cloudy,Normal
5.7,5.9,103,106,94,27,Cloudy,Normal
5.2,5.9,106,104,94,22,Cloudy,Normal
5.6,5.4,102,106,96,28,Cloudy,Normal
5.2,5.7,107,104,98,27,Cloudy,Normal
5.4,5.8,101,109,96,22,Cloudy,Normal
5.4,5.7,102,104,93,29,Cloudy,Normal
5.5,5.6,104,105,92,28,Cloudy,Normal
5.2,5.4,104,107,97,27,Cloudy,Normal
5.9,5.5,109,100,93,28,Cloudy,Normal
5.8,5.6,100,101,95,23,Cloudy,Normal
5.2,5.6,102,109,91,23,Cloudy,Normal
5.8,5.5,101,103,93,27,Cloudy,Normal
5.3,5.7,108,108,98,27,Cloudy,Normal
5.3,5.3,102,107,98,23,Cloudy,Normal
5.8,5.1,107,109,93,24,Cloudy,Normal
5.1,5.4,107,107,94,27,Cloudy,Normal
5.4,5.9,109,106,91,29,Cloudy,Normal
5.3,5.6,101,106,92,28,Cloudy,Normal
5.3,5.6,101,108,97,23,Cloudy,Normal
5.2,5.3,102,104,98,24,Cloudy,Normal
5.8,5.6,108,109,93,28,Cloudy,Normal
5.4,5.3,107,102,94,29,Cloudy,Normal
5.9,5.5,107,101,97,30,Cloudy,Normal
5.5,5.4,110,103,91,22,Cloudy,Normal
5.5,5.4,109,104,91,21,Cloudy,Normal
5.8,5.8,101,100,95,29,Cloudy,Normal
5.6,5.4,104,101,96,28,Cloudy,Normal
5.3,5.5,107,104,94,27,Cloudy,Normal
5.5,5.1,107,108,93,20,Cloudy,Normal
5.1,5.3,106,102,91,22,Cloudy,Normal
5.6,5.7,104,109,98,20,Cloudy,Normal
5.7,5.2,106,101,92,29,Cloudy,Normal
5.5,5.3,105,104,99,29,Cloudy,Normal
5.8,5.6,108,106,92,29,Cloudy,Normal
5.3,5.9,105,106,91,23,Cloudy,Normal
5.6,5.5,106,103,97,26,Cloudy,Normal
5.7,5.5,108,106,93,25,Cloudy,Normal
5.4,5.4,101,103,92,28,Cloudy,Normal
5.2,5.1,107,102,93,25,Cloudy,Normal
5.2,5.7,108,103,99,21,Cloudy,Normal
5.4,5.2,102,103,93,24,Cloudy,Normal
5.8,5.8,103,103,96,21,Cloudy,Normal
5.8,5.9,105,107,97,28,Cloudy,Normal
5.3,5.6,104,103,94,23,Cloudy,Normal
5.4,5.4,107,110,92,29,Cloudy,Normal
5.4,5.1,104,104,95,23,Cloudy,Normal
5.7,5.6,101,106,93,21,Cloudy,Normal
5.8,5.3,100,102,99,22,Cloudy,Normal
5.2,5.6,106,105,94,28,Cloudy,Normal
5.6,5.8,103,107,98,27,Cloudy,Normal
5.1,5.3,108,105,93,29,Cloudy,Normal
5.8,5.6,103,110,95,26,Cloudy,Normal
5.4,5.9,108,105,95,21,Cloudy,Normal
5.8,5.1,109,104,97,26,Cloudy,Normal
5.9,5.8,109,104,92,24,Cloudy,Normal
5.4,5.6,105,102,94,21,Cloudy,Normal
5.4,5.1,100,108,99,22,Cloudy,Normal
5.4,5.5,105,101,96,30,Cloudy,Normal
5.1,5.5,109,108,97,29,Cloudy,Normal
5.4,5.2,105,107,91,25,Cloudy,Normal
5.7,5.6,100,102,94,28,Cloudy,Normal
5.7,5.5,103,102,91,22,Cloudy,Normal
5.4,5.6,105,104,92,21,Cloudy,Normal
5.2,5.3,100,104,97,22,Cloudy,Normal
5.5,5.3,109,108,91,24,Cloudy,Normal
5.2,5.8,106,108,92,22,Cloudy,Normal
5.9,5.4,107,109,99,28,Cloudy,Normal
5.9,5.5,110,102,95,22,Cloudy,Normal
5.6,5.9,105,110,94,26,Cloudy,Normal
5.7,5.5,109,110,95,29,Cloudy,Normal
5.5,5.5,103,105,99,29,Cloudy,Normal
5.7,5.7,105,104,98,22,Cloudy,Normal
5.6,5.4,107,106,98,22,Cloudy,Normal
5.6,5.8,107,107,99,26,Cloudy,Normal
5.3,5.2,100,109,97,29,Cloudy,Normal
5.6,5.7,107,109,92,24,Cloudy,Normal
5.6,5.1,101,101,98,27,Cloudy,Normal
5.9,5.2,105,109,94,28,Cloudy,Normal
5.7,5.5,102,105,94,26,Cloudy,Normal
5.5,5.1,100,106,94,25,Cloudy,Normal
5.3,5.1,108,109,95,28,Cloudy,Normal
5.2,5.7,105,107,92,24,Cloudy,Normal
5.5,5.3,102,106,93,24,Cloudy,Normal
5.2,5.2,104,108,95,29,Cloudy,Normal
5.6,5.4,101,109,92,22,Cloudy,Normal
5.3,5.5,109,101,97,28,Cloudy,Normal
5.5,5.5,109,106,97,21,Cloudy,Normal
5.8,5.2,110,105,96,29,Cloudy,Normal
5.8,5.9,107,109,98,29,Cloudy,Normal
5.4,5.5,103,100,96,26,Cloudy,Normal
5.8,5.2,109,108,96,21,Cloudy,Normal
5.2,5.3,109,106,98,24,Cloudy,Normal
5.2,5.4,108,100,93,23,Cloudy,Normal
5.1,5.8,105,101,93,28,Cloudy,Normal
5.4,5.8,100,106,92,21,Cloudy,Normal
5.8,5.3,110,101,94,27,Cloudy,Normal
5.7,5.7,102,106,95,23,Cloudy,Normal
5.6,5.8,107,110,93,23,Cloudy,Normal
5.1,5.3,104,109,93,25,Cloudy,Normal
5.5,5.4,108,102,96,28,Cloudy,Normal
5.5,5.7,101,104,95,28,Cloudy,Normal
5.9,5.5,102,103,95,24,Cloudy,Normal
5.6,5.6,106,102,96,26,Cloudy,Normal
5.7,5.3,107,110,94,21,Cloudy,Normal
5.2,5.9,108,102,93,24,Cloudy,Normal
5.6,5.4,103,107,91,24,Cloudy,Normal
5.4,5.3,104,100,98,29,Cloudy,Normal
5.4,5.3,110,108,99,30,Cloudy,Normal
5.2,5.6,103,101,97,30,Cloudy,Normal
5.3,5.8,101,101,91,28,Cloudy,Normal
5.3,5.6,106,107,92,21,Cloudy,Normal
5.7,5.5,106,102,99,24,Cloudy,Normal
5.4,5.6,103,102,91,27,Cloudy,Normal
5.3,5.2,106,102,94,29,Cloudy,Normal
5.6,5.1,105,100,99,25,Cloudy,Normal
5.6,5.7,106,104,91,21,Cloudy,Normal
5.1,5.5,107,107,93,26,Cloudy,Normal
5.5,5.7,108,105,94,29,Cloudy,Normal
5.6,5.3,101,107,97,29,Cloudy,Normal
5.1,5.1,107,107,98,24,Cloudy,Normal
5.9,5.6,101,106,97,28,Cloudy,Normal
5.3,5.3,106,103,95,25,Cloudy,Normal
5.4,5.8,109,109,94,24,Cloudy,Normal
5.2,5.5,101,103,95,30,Cloudy,Normal
5.3,5.1,104,106,92,27,Cloudy,Normal
5.5,5.5,104,107,92,30,Cloudy,Normal
5.7,5.6,105,103,96,23,Cloudy,Normal
5.8,5.4,108,109,92,27,Cloudy,Normal
5.8,5.5,105,102,93,21,Cloudy,Normal
5.5,5.5,101,105,97,30,Cloudy,Normal
5.5,5.3,105,106,97,22,Cloudy,Normal
5.4,5.9,104,109,94,28,Cloudy,Normal
5.4,5.5,103,106,96,30,Cloudy,Normal
5.8,5.2,105,108,96,28,Cloudy,Normal
5.9,5.6,103,102,97,27,Cloudy,Normal
5.2,5.2,102,105,93,29,Cloudy,Normal
5.4,5.6,109,109,99,29,Cloudy,Normal
5.4,5.4,110,104,98,29,Cloudy,Normal
5.8,5.7,102,100,97,23,Cloudy,Normal
5.2,5.1,106,102,99,30,Cloudy,Normal
5.2,5.3,107,108,92,30,Cloudy,Normal
5.4,5.5,101,108,99,24,Cloudy,Normal
5.8,5.5,109,109,93,22,Cloudy,Normal
5.2,5.5,107,103,99,27,Cloudy,Normal
5.5,5.7,109,103,93,26,Cloudy,Normal
5.4,5.4,101,102,95,21,Cloudy,Normal
5.4,5.2,109,105,92,23,Cloudy,Normal
5.3,5.7,110,106,96,25,Cloudy,Normal
5.9,5.4,107,105,98,28,Cloudy,Normal
5.8,5.1,107,101,96,26,Cloudy,Normal
5.7,5.5,110,104,96,28,Cloudy,Normal
5.3,5.4,104,104,94,21,Cloudy,Normal
5.5,5.7,108,104,94,24,Cloudy,Normal
5.4,5.1,108,101,92,30,Cloudy,Normal
5.8,5.1,107,107,94,23,Cloudy,Normal
5.6,5.8,108,109,93,27,Cloudy,Normal
5.5,5.3,103,101,98,27,Cloudy,Normal
5.8,5.1,104,104,97,28,Cloudy,Normal
5.9,5.1,109,110,91,30,Cloudy,Normal
5.8,5.4,103,106,96,21,Cloudy,Normal
5.8,5.1,100,110,94,21,Cloudy,Normal
5.5,5.6,100,100,98,29,Cloudy,Normal
5.2,5.4,108,109,94,27,Cloudy,Normal
5.7,5.2,103,105,94,25,Cloudy,Normal
5.4,5.3,108,103,93,28,Cloudy,Normal
5.3,5.5,104,107,97,20,Cloudy,Normal
5.5,5.1,104,102,94,28,Cloudy,Normal
5.8,5.8,102,101,97,25,Cloudy,Normal
5.6,5.6,104,107,97,22,Cloudy,Normal
5.5,5.4,102,101,96,30,Cloudy,Normal
5.7,5.3,102,107,96,25,Cloudy,Normal
5.4,5.2,105,103,97,27,Cloudy,Normal
5.7,5.1,110,102,96,29,Cloudy,Normal
5.8,5.8,100,100,93,30,Cloudy,Normal
5.3,5.4,109,100,98,27,Cloudy,Normal
5.3,5.2,107,108,93,27,Cloudy,Normal
5.8,5.3,109,109,98,29,Cloudy,Normal
5.8,5.2,101,103,98,26,Cloudy,Normal
5.2,5.2,109,103,93,24,Cloudy,Normal
5.9,5.5,109,109,97,24,Cloudy,Normal
5.6,5.3,104,100,95,29,Cloudy,Normal
5.4,5.2,100,108,93,30,Cloudy,Normal
5.7,5.5,100,108,92,25,Cloudy,Normal
5.2,5.3,108,100,98,26,Cloudy,Normal
5.4,5.1,101,103,92,27,Cloudy,Normal
5.1,5.4,102,109,93,27,Cloudy,Normal
5.5,5.1,107,107,97,29,Cloudy,Normal
5.8,5.7,103,103,97,24,Cloudy,Normal
5.1,5.5,104,108,97,24,Cloudy,Normal
5.8,5.3,109,107,95,28,Cloudy,Normal
5.8,5.4,106,107,94,30,Cloudy,Normal
5.6,5.8,100,103,97,21,Cloudy,Normal
5.4,5.2,103,106,97,26,Cloudy,Normal
5.4,5.2,106,108,95,25,Cloudy,Normal
5.7,5.2,107,105,95,23,Cloudy,Normal
5.3,5.3,105,109,92,24,Cloudy,Normal
5.4,5.7,107,103,91,28,Cloudy,Normal
5.2,5.6,109,102,98,29,Cloudy,Normal
5.8,5.6,106,101,99,29,Cloudy,Normal
5.6,5.3,107,104,95,26,Cloudy,Normal
5.7,5.8,102,109,93,27,Cloudy,Normal
5.6,5.3,105,101,93,29,Cloudy,Normal
5.3,5.7,108,102,97,30,Cloudy,Normal
5.9,5.8,104,105,92,26,Cloudy,Normal
5.2,5.8,105,104,98,23,Cloudy,Normal
5.6,5.6,105,106,96,23,Cloudy,Normal
5.3,5.6,102,106,93,23,Cloudy,Normal
5.2,5.7,104,102,93,29,Cloudy,Normal
5.4,5.4,107,106,94,28,Cloudy,Normal
5.5,5.2,102,106,92,30,Cloudy,Normal
5.6,5.5,105,103,96,22,Cloudy,Normal
5.4,5.5,109,104,96,29,Cloudy,Normal
5.4,5.3,104,103,93,24,Cloudy,Normal
5.6,5.8,108,108,97,27,Cloudy,Normal
5.8,5.2,109,103,98,21,Cloudy,Normal
5.5,5.2,105,105,97,26,Cloudy,Normal
5.9,5.3,109,100,93,26,Cloudy,Normal
5.5,5.2,109,103,96,20,Cloudy,Normal
5.3,5.5,101,109,93,21,Cloudy,Normal
5.3,5.8,102,105,96,25,Cloudy,Normal
5.3,5.2,107,101,91,28,Cloudy,Normal
5.4,5.3,108,108,93,22,Cloudy,Normal
5.4,5.1,106,101,97,26,Cloudy,Normal
5.2,5.7,102,110,92,29,Cloudy,Normal
5.6,5.3,105,104,93,21,Cloudy,Normal
5.6,5.5,106,103,94,22,Cloudy,Normal
0,5.3,0,108,97,28,Sunny,Open
0,5.2,0,102,97,20,Sunny,Open
0,5.2,0,105,96,25,Sunny,Open
0,5.8,0,103,98,22,Sunny,Open
0,5.4,0,106,92,22,Sunny,Open
0,5.5,0,109,98,26,Sunny,Open
0,5.7,0,105,99,20,Sunny,Open
0,5.2,0,110,93,27,Sunny,Open
0,5.5,0,100,93,27,Sunny,Open
0,5.4,0,107,96,26,Sunny,Open
0,5.3,0,101,98,24,Sunny,Open
0,5.3,0,110,96,20,Sunny,Open
0,5.1,0,105,92,24,Sunny,Open
0,5.5,0,101,96,23,Sunny,Open
0,5.1,0,105,94,24,Sunny,Open
0,5.6,0,106,95,23,Sunny,Open
0,5.2,0,104,98,28,Sunny,Open
0,5.9,0,109,99,28,Sunny,Open
0,5.9,0,106,98,28,Sunny,Open
0,5.3,0,103,94,24,Sunny,Open
0,5.6,0,107,98,21,Sunny,Open
0,5.4,0,100,97,29,Sunny,Open
0,5.5,0,106,96,27,Sunny,Open
0,5.4,0,106,97,27,Sunny,Open
0,5.4,0,101,92,28,Sunny,Open
0,5.1,0,109,93,24,Sunny,Open
0,5.1,0,108,97,23,Sunny,Open
0,5.5,0,102,98,26,Sunny,Open
0,5.9,0,107,97,29,Sunny,Open
0,5.9,0,109,94,24,Sunny,Open
0,5.1,0,104,97,27,Sunny,Open
0,5.7,0,108,94,26,Sunny,Open
0,5.6,0,102,97,22,Sunny,Open
0,5.8,0,106,93,29,Sunny,Open
0,5.4,0,102,96,27,Sunny,Open
0,5.8,0,105,97,24,Sunny,Open
0,5.5,0,101,97,21,Sunny,Open
0,5.8,0,110,95,24,Sunny,Open
0,5.7,0,101,93,23,Sunny,Open
0,5.7,0,105,94,24,Sunny,Open
0,5.9,0,102,92,25,Sunny,Open
0,5.8,0,101,94,22,Sunny,Open
0,5.2,0,108,92,28,Sunny,Open
0,5.2,0,107,92,26,Sunny,Open
0,5.7,0,109,96,28,Sunny,Open
0,5.1,0,107,98,29,Sunny,Open
0,5.2,0,102,94,25,Sunny,Open
0,5.9,0,103,93,24,Sunny,Open
0,5.9,0,102,94,22,Sunny,Open
0,5.4,0,105,93,20,Sunny,Open
0,5.8,0,103,95,22,Sunny,Open
0,5.8,0,108,92,27,Sunny,Open
0,5.4,0,102,94,21,Sunny,Open
0,5.9,0,101,92,29,Sunny,Open
0,5.3,0,104,96,27,Sunny,Open
0,5.4,0,108,95,26,Sunny,Open
